# Directed graph: graph2.txt 
# GEO  FWD:0.3  BCK:0.25, StartNds:1, Take2:0, Orphan:0, ProbDecay:1
# Nodes: 1000 Edges: 1783
# FromNodeId	ToNodeId
1	0
2	0
3	2
4	3
5	0
6	3
6	4
7	1
8	0
8	1
9	5
10	0
10	2
10	3
10	4
10	6
10	8
11	0
12	11
13	0
13	5
14	0
15	0
15	2
16	14
17	12
18	4
19	14
20	6
20	10
21	13
22	16
23	8
24	0
24	1
25	19
26	7
27	11
28	21
29	7
30	3
31	16
32	28
33	22
34	27
35	4
36	16
36	31
37	8
38	2
39	29
40	20
41	23
42	0
42	1
42	8
42	24
43	8
43	10
43	20
44	3
44	30
45	8
45	23
46	17
47	14
48	30
49	47
50	32
51	5
51	9
52	29
53	3
53	10
53	44
54	5
54	9
54	51
55	0
55	5
55	13
55	21
55	28
55	32
56	17
56	46
57	14
57	47
57	49
58	2
58	3
58	10
58	30
58	44
58	53
59	16
60	56
61	14
61	19
61	25
61	57
62	30
63	3
63	44
63	53
64	9
65	64
66	14
66	16
66	19
66	57
67	66
68	40
69	28
69	32
69	50
70	41
71	9
72	64
73	34
74	3
74	10
74	30
74	44
74	58
74	62
75	41
76	44
77	29
77	52
78	57
79	67
80	57
80	78
81	76
82	14
82	47
82	49
82	57
83	0
83	15
84	15
85	0
85	1
85	7
85	26
86	64
86	65
87	72
88	50
88	69
89	49
90	67
91	55
92	64
92	72
93	0
94	3
94	30
95	39
96	22
97	60
98	8
98	23
98	45
99	77
100	31
101	33
102	94
103	87
104	51
105	82
106	3
107	19
108	107
109	28
110	82
111	76
111	81
112	35
113	32
113	50
113	55
113	69
113	88
114	0
114	1
114	24
114	42
114	55
115	15
115	84
116	0
117	50
118	38
119	93
120	0
120	2
120	3
120	30
120	48
120	94
120	102
121	22
121	33
122	30
122	48
123	64
123	92
124	68
125	122
126	103
127	12
128	84
129	90
130	73
131	27
131	34
132	22
132	121
133	112
134	19
135	68
136	48
137	16
137	31
137	100
138	135
139	72
140	7
140	29
141	13
141	21
141	55
142	55
142	91
143	33
143	101
144	66
144	67
145	22
145	33
145	121
145	132
146	16
147	0
147	14
147	47
148	135
148	138
149	147
150	70
151	100
152	59
153	33
153	101
153	132
