name;Clustering coefficient;Betweenness
Small-World;448.98;5.2613
Small-World;431.08;5.0451
Small-World;436.27;5.1766
Small-World;441.09;5.0925
Small-World;428.42;5.0442
Small-World;445.5;5.1956
Small-World;451.93;5.2484
Small-World;440.57;5.1775
Small-World;441.65;5.1649
Small-World;457.31;5.3753
Small-World;464.5;5.5126
Small-World;439.68;5.2051
Small-World;438.86;5.122
Small-World;428.01;4.9572
Small-World;428.52;5.0244
Small-World;450.67;5.279
Small-World;445.65;5.2098
Small-World;448.61;5.1587
Small-World;446.22;5.2345
Small-World;450.29;5.2983
Small-World;444.5;5.145
Small-World;448.04;5.1959
Small-World;440.71;5.1549
Small-World;445.65;5.2299
Small-World;434.02;4.9648
Small-World;453.94;5.346
Small-World;456.35;5.2426
Small-World;435.87;5.0679
Small-World;446.16;5.1464
Small-World;442.75;5.1749
Small-World;438.95;5.1269
Small-World;442.26;5.0607
Small-World;443.73;5.1263
Small-World;445.42;5.2153
Small-World;423.74;4.9093
Small-World;441.25;5.104
Small-World;448.15;5.1826
Small-World;437.21;5.1192
Small-World;435.02;5.1497
Small-World;469.42;5.4868
Small-World;460.77;5.378
Small-World;443.47;5.1495
Small-World;454.4;5.3693
Small-World;443.3;5.1472
Small-World;443.42;5.1926
Small-World;439.57;5.0592
Small-World;440.84;5.1376
Small-World;443.28;5.1166
Small-World;451.84;5.1901
Small-World;458.97;5.3703
Small-World;433.27;5.1029
Small-World;443;5.1153
Small-World;438.06;5.1039
Small-World;441.54;5.2064
Small-World;429.62;5.0297
Small-World;452.77;5.2842
Small-World;448.15;5.2564
Small-World;444.31;5.167
Small-World;453.16;5.2593
Small-World;438.56;5.1619
Small-World;446.84;5.2597
Small-World;428.56;5.0699
Small-World;437.89;5.0487
Small-World;450.61;5.3101
Small-World;450.49;5.2773
Small-World;445.33;5.2126
Small-World;442.5;5.2362
Small-World;445.36;5.2111
Small-World;444.85;5.1778
Small-World;448.31;5.2489
Small-World;454.15;5.3756
Small-World;438.54;5.0794
Small-World;446.27;5.2462
Small-World;431.08;5.0027
Small-World;442.6;5.1458
Small-World;448.08;5.25
Small-World;447.44;5.2138
Small-World;442.33;5.1262
Small-World;435.82;5.0642
Small-World;434.56;5.0311
Small-World;438.2;5.1066
Small-World;435.44;5.0944
Small-World;436.81;5.0613
Small-World;447.51;5.2614
Small-World;438.69;5.1563
Small-World;448.51;5.2386
Small-World;441.86;5.185
Small-World;432.61;4.9901
Small-World;452.88;5.2832
Small-World;439.38;5.0939
Small-World;439.55;5.1375
Small-World;438.54;5.1632
Small-World;447.71;5.2608
Small-World;447.96;5.223
Small-World;436.77;5.0734
Small-World;434.34;5.0403
Small-World;444.41;5.136
Small-World;449.36;5.2674
Small-World;436.24;5.0659
Small-World;444.87;5.132
Random k-regular;1;7.0538
